County,Population
Los Angeles County,"10,039,107"
San Diego County,"3,338,330"
Orange County,"3,175,692"
Riverside County,"2,470,546"
San Bernardino County,"2,180,085"
Santa Clara County,"1,927,852"
Alameda County,"1,671,329"
Sacramento County,"1,552,058"
Contra Costa County,"1,153,526"
Fresno County,"999,101"
Kern County,"900,202"
San Francisco County,"881,549"
Ventura County,"846,006"
San Mateo County,"766,573"
San Joaquin County,"762,148"
Stanislaus County,"550,660"
Sonoma County,"494,336"
Tulare County,"466,195"
Solano County,"447,643"
Santa Barbara County,"446,499"
Monterey County,"434,061"
Placer County,"398,329"
San Luis Obispo County,"283,111"
Merced County,"277,680"
Santa Cruz County,"273,213"
Marin County,"258,826"
Yolo County,"220,500"
Butte County,"219,186"
El Dorado County,"192,843"
Imperial County,"181,215"
Shasta County,"180,080"
Madera County,"157,327"
Kings County,"152,940"
Napa County,"137,744"
Humboldt County,"135,558"
Nevada County,"99,755"
Sutter County,"96,971"
Mendocino County,"86,749"
Yuba County,"78,668"
Tehama County,"65,084"
Lake County,"64,386"
San Benito County,"62,808"
Tuolumne County,"54,478"
Calaveras County,"45,905"
Siskiyou County,"43,539"
Amador County,"39,752"
Lassen County,"30,573"
Glenn County,"28,393"
Del Norte County,"27,812"
Colusa County,"21,547"
Plumas County,"18,807"
Inyo County,"18,039"
Mariposa County,"17,203"
Mono County,"14,444"
Trinity County,"12,285"
Modoc County,"8,841"
Sierra County,"3,005"
Alpine County,"1,129"
